S17176_1:101		Capture_1:201		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		Capture_6:206		Capture_7:207		Capture_8:208		Capture_9:209		Capture_10:210		Capture_11:211		Capture_12:212		Capture_13:213		
337.498	0	337.498	0	337.498	-2	337.498	0	337.498	3	337.498	-2	337.498	1	337.498	-2	337.498	-1	337.498	4	337.498	-2	337.498	-2	337.498	2	337.498	1	
337.947	-1	337.947	2	337.947	0	337.947	1	337.947	3	337.947	3	337.947	-3	337.947	1	337.947	-1	337.947	3	337.947	2	337.947	2	337.947	4	337.947	2	
338.397	1	338.397	2	338.397	6	338.397	-1	338.397	1	338.397	-1	338.397	5	338.397	3	338.397	5	338.397	2	338.397	1	338.397	1	338.397	4	338.397	5	
338.846	3	338.846	0	338.846	-3	338.846	-1	338.846	-5	338.846	-2	338.846	-1	338.846	-1	338.846	-5	338.846	2	338.846	0	338.846	0	338.846	-8	338.846	-3	
339.295	-3	339.295	-4	339.295	-3	339.295	-2	339.295	2	339.295	0	339.295	0	339.295	-4	339.295	-1	339.295	-4	339.295	-4	339.295	0	339.295	1	339.295	-5	
339.745	-4	339.745	3	339.745	-2	339.745	2	339.745	2	339.745	-3	339.745	1	339.745	0	339.745	-2	339.745	-1	339.745	-1	339.745	1	339.745	-1	339.745	2	
340.194	2	340.194	-1	340.194	2	340.194	-1	340.194	-1	340.194	0	340.194	0	340.194	4	340.194	1	340.194	4	340.194	-2	340.194	-3	340.194	4	340.194	1	
340.644	1	340.644	-2	340.644	0	340.644	1	340.644	-1	340.644	-2	340.644	-1	340.644	0	340.644	4	340.644	0	340.644	0	340.644	2	340.644	-4	340.644	1	
341.094	3	341.094	2	341.094	5	341.094	5	341.094	6	341.094	4	341.094	1	341.094	2	341.094	3	341.094	1	341.094	4	341.094	1	341.094	1	341.094	4	
341.544	-4	341.544	2	341.544	-1	341.544	-3	341.544	3	341.544	4	341.544	-2	341.544	2	341.544	-1	341.544	-3	341.544	2	341.544	-1	341.544	4	341.544	3	
341.994	1	341.994	2	341.994	-3	341.994	-1	341.994	-2	341.994	-4	341.994	-3	341.994	1	341.994	-5	341.994	-2	341.994	1	341.994	0	341.994	5	341.994	-3	
342.444	1	342.444	0	342.444	2	342.444	1	342.444	2	342.444	-1	342.444	0	342.444	-2	342.444	2	342.444	2	342.444	1	342.444	1	342.444	2	342.444	-1	
342.894	4	342.894	1	342.894	2	342.894	1	342.894	3	342.894	3	342.894	4	342.894	2	342.894	3	342.894	-3	342.894	0	342.894	3	342.894	0	342.894	4	
343.344	-3	343.344	1	343.344	0	343.344	0	343.344	-2	343.344	1	343.344	-3	343.344	1	343.344	-2	343.344	2	343.344	1	343.344	4	343.344	0	343.344	3	
343.794	-1	343.794	0	343.794	3	343.794	2	343.794	0	343.794	-1	343.794	-1	343.794	2	343.794	3	343.794	5	343.794	-1	343.794	1	343.794	-3	343.794	0	
344.244	2	344.244	1	344.244	2	344.244	0	344.244	0	344.244	-1	344.244	1	344.244	2	344.244	0	344.244	1	344.244	-2	344.244	1	344.244	-5	344.244	2	
344.695	0	344.695	-4	344.695	2	344.695	0	344.695	2	344.695	-4	344.695	1	344.695	0	344.695	-1	344.695	-3	344.695	-1	344.695	-2	344.695	1	344.695	1	
345.145	-6	345.145	0	345.145	0	345.145	-1	345.145	-3	345.145	-4	345.145	-2	345.145	-3	345.145	-3	345.145	-1	345.145	0	345.145	-4	345.145	-1	345.145	-6	
345.596	0	345.596	1	345.596	1	345.596	1	345.596	0	345.596	-1	345.596	1	345.596	1	345.596	-1	345.596	4	345.596	0	345.596	-2	345.596	-1	345.596	4	
346.046	-4	346.046	-1	346.046	5	346.046	2	346.046	4	346.046	3	346.046	0	346.046	4	346.046	5	346.046	0	346.046	0	346.046	2	346.046	1	346.046	1	
346.497	1	346.497	3	346.497	1	346.497	2	346.497	1	346.497	4	346.497	0	346.497	3	346.497	4	346.497	4	346.497	3	346.497	-1	346.497	3	346.497	3	
346.948	0	346.948	0	346.948	4	346.948	1	346.948	3	346.948	1	346.948	2	346.948	2	346.948	2	346.948	3	346.948	-1	346.948	3	346.948	3	346.948	4	
347.399	-1	347.399	1	347.399	-5	347.399	-3	347.399	-3	347.399	2	347.399	-3	347.399	1	347.399	2	347.399	-3	347.399	5	347.399	2	347.399	0	347.399	0	
347.85	-2	347.85	-3	347.85	-2	347.85	-3	347.85	-1	347.85	0	347.85	-1	347.85	-1	347.85	0	347.85	-3	347.85	0	347.85	-2	347.85	1	347.85	-2	
348.301	0	348.301	1	348.301	2	348.301	3	348.301	2	348.301	1	348.301	2	348.301	1	348.301	1	348.301	-2	348.301	3	348.301	0	348.301	-2	348.301	3	
348.752	2	348.752	2	348.752	3	348.752	7	348.752	5	348.752	1	348.752	1	348.752	0	348.752	2	348.752	1	348.752	3	348.752	1	348.752	1	348.752	3	
349.203	4	349.203	5	349.203	4	349.203	1	349.203	3	349.203	8	349.203	0	349.203	2	349.203	1	349.203	4	349.203	3	349.203	6	349.203	4	349.203	2	
349.654	2	349.654	0	349.654	3	349.654	3	349.654	6	349.654	1	349.654	-2	349.654	5	349.654	1	349.654	4	349.654	3	349.654	2	349.654	4	349.654	1	
350.106	-1	350.106	-2	350.106	1	350.106	-2	350.106	0	350.106	3	350.106	-1	350.106	0	350.106	0	350.106	0	350.106	1	350.106	1	350.106	1	350.106	-1	
350.557	-1	350.557	1	350.557	2	350.557	1	350.557	0	350.557	-2	350.557	3	350.557	2	350.557	4	350.557	6	350.557	2	350.557	1	350.557	-1	350.557	0	
351.009	2	351.009	1	351.009	-1	351.009	1	351.009	0	351.009	-2	351.009	1	351.009	0	351.009	-3	351.009	1	351.009	-3	351.009	0	351.009	-3	351.009	-1	
351.46	3	351.46	2	351.46	-2	351.46	-4	351.46	2	351.46	0	351.46	-2	351.46	-1	351.46	-1	351.46	-6	351.46	-2	351.46	-4	351.46	0	351.46	-2	
351.912	1	351.912	-2	351.912	2	351.912	4	351.912	-1	351.912	-3	351.912	0	351.912	0	351.912	1	351.912	-1	351.912	1	351.912	0	351.912	2	351.912	-1	
352.364	-2	352.364	-2	352.364	0	352.364	0	352.364	1	352.364	-4	352.364	0	352.364	-3	352.364	0	352.364	-2	352.364	-2	352.364	-2	352.364	-2	352.364	-1	
352.816	1	352.816	-1	352.816	2	352.816	0	352.816	0	352.816	-4	352.816	-6	352.816	-2	352.816	-2	352.816	2	352.816	0	352.816	-3	352.816	-1	352.816	3	
353.267	1	353.267	0	353.267	-2	353.267	2	353.267	2	353.267	3	353.267	-3	353.267	0	353.267	-1	353.267	-2	353.267	0	353.267	0	353.267	2	353.267	-3	
353.719	1	353.719	1	353.719	-1	353.719	-2	353.719	0	353.719	3	353.719	2	353.719	-3	353.719	0	353.719	-3	353.719	0	353.719	0	353.719	2	353.719	-2	
354.172	3	354.172	2	354.172	1	354.172	3	354.172	2	354.172	2	354.172	1	354.172	1	354.172	2	354.172	0	354.172	-1	354.172	6	354.172	3	354.172	0	
354.624	1	354.624	4	354.624	3	354.624	3	354.624	3	354.624	-1	354.624	2	354.624	4	354.624	1	354.624	2	354.624	3	354.624	-1	354.624	-1	354.624	-1	
355.076	-3	355.076	-2	355.076	-3	355.076	3	355.076	1	355.076	-2	355.076	-4	355.076	0	355.076	-4	355.076	3	355.076	1	355.076	4	355.076	5	355.076	-2	
