action,reward,area,config_id,time,seed,state,frame,steps,actions,experiment.step_duration,experiment.update_freq,environment.zone,environment,algorithm,filepath,compatibility_mode
[0.    0.324 0.324 0.    1.    0.606],0.16049169805477628,"[127.      73.6875  89.4375 171.125  124.3125 233.125  216.6875 237.1875
 120.25   119.0625 128.3125 149.875  101.375  124.3125 116.4375 162.9375
 148.5     88.5625  97.6875 103.4375 122.5    134.625  112.3125 187.5
 180.625  122.375  248.8125 192.5    178.75   161.125  163.25   131.4375
 119.     119.     112.375  143.5   ]",8700768564448361811,1744424609.3869479,0,[1.74442458e+09],0,1,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.051549381704958534,"[144.625   53.9375  92.625  170.0625 109.75   216.8125 238.5625 237.5625
 130.875  137.8125 143.0625 252.5625 100.875  131.5    128.9375 138.625
 120.4375  95.9375 128.1875 110.875  159.625  138.75   116.0625 190.9375
 160.5625 124.75   257.3125 182.5625 179.625  167.5625 163.6875 137.625
 137.1875 131.5    128.4375 152.5625]",8700768564448361811,1744425209.1633937,0,[1.74442518e+09],1,2,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.06560956211983321,"[138.125   71.4375 103.75   166.0625 108.875  227.5625 219.     239.3125
 131.1875 114.1875 120.375  186.8125 104.3125 115.8125 114.     153.25
 107.75    84.125   98.6875 108.375  112.125  156.625  110.4375 186.3125
 171.375  117.75   230.5625 184.5    188.3125 154.9375 143.875  137.75
 122.5    104.625  115.8125 147.5625]",8700768564448361811,1744425810.2003229,0,[1.74442578e+09],2,3,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.04769236608882197,"[126.4375  78.3125 101.25   156.625   88.1875 217.     215.8125 221.125
 141.1875 121.1875 141.375  233.9375  99.125  116.5    111.1875 155.6875
 128.25   126.0625 111.8125 102.125  107.3125 142.0625 118.6875 187.
 171.0625 140.5    222.9375 185.     171.75   161.375  164.9375 175.125
 140.25   121.     116.3125 153.8125]",8700768564448361811,1744426411.283817,0,[1.74442638e+09],3,4,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.00292559933458625,"[131.5     61.1875  90.25   161.4375 112.375  212.5    186.3125 218.9375
 126.625  139.3125 124.875  188.1875 120.375  114.375  127.5    144.9375
 140.25   101.9375  98.875  102.4375 121.9375 170.6875 137.8125 175.5
 163.5625 138.25   222.625  196.     200.875  157.6875 156.0625 154.125
 141.625  138.3125 103.1875 146.9375]",8700768564448361811,1744427009.2752376,0,[1.74442698e+09],4,5,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.04507966001703196,"[145.0625  73.5625  86.625  182.1875  96.3125 256.25   235.375  224.875
 120.125  161.75   137.5625 210.75   143.875  126.4375 117.125  169.6875
 155.     101.125  120.125  110.5625 118.375  161.5    112.6875 182.375
 177.25   146.25   187.3125 198.125  182.3125 173.25   159.     172.1875
 134.75   135.625  126.625  150.5625]",8700768564448361811,1744427612.18403,0,[1.74442758e+09],5,6,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.12064325830433167,"[115.625   55.9375  94.3125 145.5625 103.5    219.875  208.6875 224.75
 104.8125 134.3125 136.4375 189.1875 102.5625 116.375  106.0625 132.125
 107.1875 108.1875 105.4375  91.0625 105.375  128.8125 111.125  162.875
 156.5    132.8125 211.25   193.125  180.5    141.375  155.25   153.5625
 125.4375 122.9375  99.5    151.875 ]",8700768564448361811,1744428208.646069,0,[1.74442818e+09],6,7,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.023405889757174454,"[120.8125  67.8125  85.3125 149.4375  93.875  178.5625 195.25   222.4375
 118.1875 125.4375 129.5    181.5625 114.9375 110.875  124.3125 131.1875
 106.75   118.5625  89.5     88.25   100.0625 185.0625 137.5    165.0625
 166.4375 133.4375 200.75   196.4375 184.125  146.5625 170.5    147.25
 105.9375 115.625  108.4375 147.25  ]",8700768564448361811,1744428809.416834,0,[1.74442878e+09],7,8,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.002623154680279068,"[122.5     59.25    88.8125 164.5     97.1875 205.3125 214.     208.875
  98.625  103.625  134.125  239.625  118.25   107.9375 103.4375 140.5625
  95.625   97.4375 102.75    99.5    107.0625 141.6875 107.4375 174.8125
 174.0625 135.9375 213.3125 199.8125 173.375  190.9375 147.375  151.5625
 116.125  117.     120.4375 151.0625]",8700768564448361811,1744429409.2789545,0,[1.74442938e+09],8,9,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.06761830242921431,"[153.      48.125   90.125  186.1875 109.875  228.5625 193.     237.1875
 135.4375 145.5    114.25   259.5625 124.3125 107.8125 109.4375 177.875
 124.625  107.8125 123.9375 117.0625 116.25   155.375  139.75   190.4375
 158.625  158.     222.0625 212.0625 184.625  155.0625 156.3125 147.75
 113.25   144.5625  98.875  157.    ]",8700768564448361811,1744430011.574573,0,[1.74442998e+09],9,10,,600,1,6,P5,Poisson6,experiments/online/E6/P5/poisson6.xlsx,0
